lat,lon,year_of_crime
34.0449,-118.2458,2015
34.0417,-118.2443,2015
34.0442,-118.2439,2015
34.0467,-118.2556,2015
34.0488,-118.2518,2015
34.043,-118.2606,2015
34.0402,-118.2598,2015
34.0503,-118.2504,2015
34.0366,-118.2602,2015
34.0366,-118.2602,2015
34.0517,-118.2491,2015
34.0453,-118.2443,2015
34.0503,-118.2504,2015
34.0495,-118.2458,2015
34.0428,-118.2461,2015
34.0524,-118.2467,2015
34.0524,-118.2467,2015
34.0571,-118.2509,2015
34.033,-118.2615,2015
34.0467,-118.2485,2015
34.0421,-118.2469,2015
34.0461,-118.2476,2015
34.0446,-118.245,2015
34.0395,-118.2405,2015
34.0438,-118.2547,2015
34.0387,-118.2488,2015
34.046,-118.2509,2015
34.0417,-118.2443,2015
34.0401,-118.2668,2015
34.057,-118.2437,2015
34.0488,-118.2518,2015
34.0428,-118.2532,2015
34.0417,-118.2443,2015
34.0426,-118.2457,2015
34.0352,-118.2583,2015
34.0401,-118.2533,2015
34.0438,-118.2416,2015
34.0467,-118.2411,2015
34.0384,-118.2305,2015
34.0538,-118.2488,2015
34.0459,-118.2579,2015
34.0407,-118.2468,2015
34.0435,-118.2471,2015
34.0516,-118.2561,2015
34.0644,-118.2387,2015
34.0428,-118.2461,2015
34.048,-118.2577,2015
34.0417,-118.2443,2015
34.0487,-118.2588,2015
34.0426,-118.2528,2015
34.0488,-118.2483,2015
34.0551,-118.2545,2015
34.0428,-118.2461,2015
34.0394,-118.2405,2015
34.0431,-118.2692,2015
34.0581,-118.2371,2015
34.0491,-118.2558,2015
34.0615,-118.2412,2015
34.0446,-118.245,2015
34.0347,-118.2602,2015
34.0435,-118.2471,2015
34.0408,-118.2428,2015
34.0446,-118.245,2015
34.0449,-118.2415,2015
34.057,-118.2437,2015
34.045,-118.264,2015
34.0467,-118.252,2015
34.0569,-118.254,2015
34.0563,-118.2374,2015
34.0446,-118.245,2015
34.0396,-118.2558,2015
34.0458,-118.243,2015
34.0442,-118.2439,2015
34.0439,-118.2479,2015
34.0613,-118.2446,2015
34.051,-118.248,2015
34.051,-118.248,2015
34.0626,-118.2445,2015
34.0547,-118.2445,2015
34.0417,-118.2443,2015
34.0384,-118.2305,2015
34.0481,-118.2507,2015
34.0421,-118.2469,2015
34.0583,-118.2378,2015
34.046,-118.2326,2015
34.0468,-118.2415,2015
34.0409,-118.2574,2015
34.0446,-118.245,2015
34.0442,-118.2439,2015
34.0408,-118.2428,2015
34.0446,-118.245,2015
34.0449,-118.2415,2015
34.0417,-118.2443,2015
34.0446,-118.245,2015
34.0615,-118.2412,2015
34.0421,-118.2405,2015
34.0446,-118.245,2015
34.0446,-118.245,2015
34.0437,-118.2455,2015
34.0407,-118.2468,2015
34.048,-118.2577,2015
34.0446,-118.245,2015
34.043,-118.2606,2015
34.0448,-118.2474,2015
34.0435,-118.2471,2015
34.0495,-118.2529,2015
34.0434,-118.2577,2015
34.0363,-118.2672,2015
34.0488,-118.25,2015
34.043,-118.2606,2015
34.053,-118.2513,2015
34.0461,-118.2476,2015
34.0461,-118.2476,2015
34.0453,-118.2443,2015
34.0525,-118.2357,2015
34.0437,-118.2455,2015
34.0454,-118.2466,2015
34.0459,-118.2545,2015
34.046,-118.2509,2015
34.0446,-118.245,2015
34.0571,-118.2509,2015
34.0481,-118.2507,2015
34.0405,-118.2567,2015
34.0423,-118.2452,2015
34.0495,-118.2529,2015
34.0523,-118.2572,2015
34.0419,-118.2485,2015
34.0421,-118.2405,2015
34.0495,-118.2494,2015
34.0446,-118.245,2015
34.0352,-118.2654,2015
34.0454,-118.2466,2015
34.0435,-118.2471,2015
34.039,-118.24,2015
34.0478,-118.2502,2015
34.0478,-118.2502,2015
34.0433,-118.2504,2015
34.0448,-118.2474,2015
34.0421,-118.2469,2015
34.0481,-118.2507,2015
34.0431,-118.2692,2015
34.0431,-118.2692,2015
34.0431,-118.2692,2015
34.0467,-118.252,2015
34.0428,-118.2461,2015
34.0544,-118.2466,2015
34.0407,-118.268,2015
34.0401,-118.2668,2015
34.0419,-118.2485,2015
34.0558,-118.24,2015
34.0472,-118.2351,2015
34.057,-118.2437,2015
34.057,-118.2437,2015
34.0449,-118.2458,2015
34.0557,-118.2436,2015
34.0421,-118.2469,2015
34.0428,-118.2461,2015
34.0613,-118.2446,2015
34.0462,-118.2628,2015
34.0419,-118.2485,2015
34.0515,-118.2424,2015
34.0448,-118.2474,2015
34.0471,-118.2491,2015
34.0515,-118.2424,2015
34.0452,-118.2534,2015
34.0439,-118.2479,2015
34.0471,-118.2491,2015
34.0473,-118.2462,2015
34.0481,-118.2507,2015
34.0454,-118.2608,2015
34.0439,-118.2514,2015
34.0417,-118.2443,2015
34.0431,-118.2692,2015
34.049,-118.2381,2015
34.0421,-118.2469,2015
34.0502,-118.254,2015
34.0696,-118.2339,2015
34.0483,-118.2631,2015
34.0421,-118.2405,2015
34.0421,-118.2469,2015
34.0421,-118.2469,2015
34.0488,-118.25,2015
34.0519,-118.2531,2015
34.0459,-118.2579,2015
34.043,-118.242,2015
34.0428,-118.2461,2015
